--------------------------------------------------
Data   Type:		0
Resp.  Stat:		0
Sequence No:		1
Packet Data:
large.txt

CRC result: 8324, 8324

CRC result: 1f6c, 1f6c

CRC result: b020, b020

CRC result: 6c29, 6c29

CRC result: f100, f100

CRC result: 2954, 2954

CRC result: 5a4a, 5a4a

CRC result: 6567, 6567

CRC result: a14f, a14f

CRC result: 5377, 5377

CRC result: b331, b331

CRC result: c81e, c81e

CRC result: ef4c, ef4c

CRC result: eb60, eb60

CRC result: 4f2, 4f2

CRC result: 871, 871

CRC result: e947, e947

CRC result: 40e2, 40e2

CRC result: ee3c, ee3c

CRC result: 3ac3, 3ac3

CRC result: 8d35, 8d35

CRC result: 8bd7, 8bd7

CRC result: 1abb, 1abb

CRC result: 60a2, 60a2

CRC result: 1640, 1640

CRC result: 1ced, 1ced

CRC result: ba0b, ba0b

CRC result: 9754, 9754

CRC result: 106, 106

CRC result: 8616, 8616

CRC result: cdac, cdac

CRC result: 8eb5, 8eb5

CRC result: e725, e725

CRC result: f49e, f49e

CRC result: 6bad, 6bad

CRC result: ee4e, ee4e

CRC result: fdc6, fdc6

CRC result: db3b, db3b

CRC result: 8c02, 8c02

CRC result: f2ae, f2ae

CRC result: 9934, 9934

CRC result: 55d5, 55d5

CRC result: a1d5, a1d5

CRC result: b489, b489

CRC result: 9412, 9412

CRC result: ead7, ead7

CRC result: cf0b, cf0b

CRC result: f2c8, f2c8

CRC result: 403e, 403e

CRC result: 4bb4, 4bb4

CRC result: a464, a464

CRC result: 726b, 726b

CRC result: 70b, 70b

CRC result: 13e1, 13e1

CRC result: 9d53, 9d53

CRC result: 5e86, 5e86

CRC result: 9ccb, 9ccb

CRC result: 5e5c, 5e5c

CRC result: 50ae, 50ae

CRC result: 825, 825

CRC result: 1b12, 1b12

CRC result: 53a8, 53a8

CRC result: 51a8, 51a8

CRC result: 6e7d, 6e7d

CRC result: fade, fade

CRC result: 51d2, 51d2

CRC result: b585, b585

CRC result: 870, 870

CRC result: 90ef, 90ef

CRC result: 6fc1, 6fc1

CRC result: 90f1, 90f1

CRC result: ba92, ba92

CRC result: 3821, 3821

CRC result: 64e5, 64e5

CRC result: ec53, ec53

CRC result: da49, da49

CRC result: c5af, c5af

CRC result: 4784, 4784

CRC result: 58c5, 58c5

CRC result: 1d4a, 1d4a

CRC result: 33fc, 33fc

CRC result: 343d, 343d

CRC result: fdae, fdae

CRC result: e457, e457

CRC result: a9b2, a9b2

CRC result: 2453, 2453

CRC result: bbf6, bbf6

CRC result: a636, a636

CRC result: ca5c, ca5c

CRC result: 29f1, 29f1

CRC result: dd44, dd44

CRC result: 38a3, 38a3

CRC result: c424, c424

CRC result: fbf7, fbf7

CRC result: 9dee, 9dee

CRC result: 8491, 8491

CRC result: cc5c, cc5c

CRC result: fd09, fd09

CRC result: bdfc, bdfc

CRC result: 9f7b, 9f7b

CRC result: ab76, ab76

CRC result: 3461, 3461

CRC result: bd2c, bd2c

CRC result: 565e, 565e

CRC result: 2cbe, 2cbe

CRC result: 68c4, 68c4

CRC result: 6fc7, 6fc7

CRC result: 75d, 75d

CRC result: 9566, 9566

CRC result: 8b40, 8b40

CRC result: 1342, 1342

CRC result: cce4, cce4

CRC result: 7c8e, 7c8e

CRC result: 5c9d, 5c9d

CRC result: e528, e528

CRC result: 7129, 7129

CRC result: d0ab, d0ab

CRC result: 4ad6, 4ad6

CRC result: d8a0, d8a0

CRC result: c8df, c8df

CRC result: e02, e02

CRC result: afb8, afb8

CRC result: 7a6b, 7a6b

CRC result: b93, b93

CRC result: d196, d196

CRC result: dafd, dafd

CRC result: 6d2a, 6d2a

CRC result: 7f6d, 7f6d

CRC result: f01e, f01e

CRC result: 44cd, 44cd

CRC result: 7547, 7547

CRC result: e0c9, e0c9

CRC result: 7e3d, 7e3d

CRC result: 82da, 82da

CRC result: 4b85, 4b85

CRC result: 1440, 1440

CRC result: e7b5, e7b5

CRC result: c743, c743

CRC result: 320d, 320d

CRC result: 9da7, 9da7

CRC result: 1ef9, 1ef9

CRC result: 8c01, 8c01

CRC result: f53d, f53d

CRC result: dd1a, dd1a

CRC result: b116, b116

CRC result: b1b7, b1b7

CRC result: b31a, b31a

CRC result: 898, 898

CRC result: bce8, bce8

CRC result: 4a5b, 4a5b

CRC result: 9896, 9896

CRC result: bc5, bc5

CRC result: 129e, 129e

CRC result: c369, c369

CRC result: 6324, 6324

CRC result: 9766, 9766

CRC result: 3059, 3059

CRC result: 11cd, 11cd

CRC result: d972, d972

CRC result: 9659, 9659

CRC result: b8b7, b8b7

CRC result: 4de, 4de

CRC result: 2698, 2698

CRC result: c332, c332

CRC result: 7a50, 7a50

CRC result: 9e48, 9e48

CRC result: e9d6, e9d6

CRC result: e0e7, e0e7

